Precision,Recall,Threshold
0.8990882485366952,0.8705722070844687,0.44
0.9001724576630573,0.867574931880109,0.44333333333333336
0.9010683032162746,0.864141689373297,0.44666666666666666
0.9018695590124162,0.8609536784741144,0.45
0.9030852161945178,0.8582016348773842,0.4533333333333333
0.9035138248847926,0.8547683923705722,0.45666666666666667
0.904706801284462,0.852125340599455,0.46
0.9056077211546847,0.8488283378746594,0.4633333333333333
0.9064079712474067,0.8452316076294278,0.4666666666666667
0.9075988020435727,0.8422615803814714,0.47
0.9085115798790382,0.8390735694822888,0.47333333333333333
0.9095276220976781,0.8357493188010899,0.4766666666666667
0.9101501966861366,0.8321798365122616,0.48
0.910959930470225,0.8282288828337875,0.48333333333333334
0.9117992943943551,0.8239237057220709,0.4866666666666667
0.9127256180797816,0.8198365122615804,0.49
0.913418988616596,0.8155313351498638,0.49333333333333335
0.9138841149030199,0.8113896457765668,0.49666666666666665
0.9148220184619185,0.8074114441416894,0.5
0.9157528501755149,0.803242506811989,0.5033333333333333
0.9164715066354411,0.7997275204359673,0.5066666666666667
0.9171616228276924,0.7952316076294278,0.51
0.9179772792000254,0.7904359673024524,0.5133333333333333
0.9186375935062868,0.7863487738419619,0.5166666666666667
0.9197960427155822,0.7815258855585832,0.52
0.9204926489553779,0.7779291553133515,0.5233333333333333
0.9211107502435856,0.7727792915531335,0.5266666666666666
0.9218269796638985,0.7682561307901907,0.53
0.9224084010929322,0.7634877384196185,0.5333333333333333
0.9234952744155198,0.7588010899182561,0.5366666666666666
0.9240654205607477,0.7543596730245231,0.54
0.9249739609582367,0.7501362397820164,0.5433333333333333
0.9254044540716171,0.7450136239782016,0.5466666666666666
0.9258425433210533,0.7395640326975477,0.55
0.9265332783278328,0.7343596730245232,0.5533333333333333
0.927313691507799,0.7289645776566758,0.5566666666666666
0.92794271742927,0.7238964577656676,0.56
0.928445727157539,0.7187738419618529,0.5633333333333334
0.9287109028295523,0.7127792915531335,0.5666666666666667
0.9292871457200115,0.707574931880109,0.57
0.929687218153613,0.7021798365122616,0.5733333333333334
0.9299738219895288,0.6969482288828338,0.5766666666666667
0.930595783684693,0.691607629427793,0.58
0.9310944261567482,0.6859400544959128,0.5833333333333334
0.9319418561311964,0.6813079019073569,0.5866666666666667
0.932447646926368,0.6770027247956403,0.59
0.9330304751088396,0.6715531335149864,0.5933333333333334
0.9339063992359121,0.6660762942779291,0.5966666666666667
0.9344565678374522,0.6604087193460491,0.6
0.9347522137641758,0.6558038147138965,0.6033333333333334
0.9349911885647151,0.6505449591280654,0.6066666666666667
0.935476228084031,0.6455040871934605,0.61
0.9360736049707253,0.6403814713896457,0.6133333333333333
0.9366437668233498,0.6352588555858311,0.6166666666666667
0.9369931884528057,0.6297002724795641,0.62
0.9372954842931938,0.6243869209809264,0.6233333333333333
0.9378794762711165,0.6187193460490463,0.6266666666666667
0.9382566585956417,0.6123978201634878,0.63
0.9389113582743512,0.6072479564032698,0.6333333333333333
0.9393101688427679,0.6017983651226158,0.6366666666666667
0.9396736796908545,0.5963215258855585,0.64
0.9402758501040944,0.590708446866485,0.6433333333333333
0.9407618213660245,0.5854768392370572,0.6466666666666666
0.9409812856700438,0.5795367847411445,0.65
0.9412159141707644,0.5737057220708447,0.6533333333333333
0.9415613718411552,0.5685286103542234,0.6566666666666666
0.9417878470164562,0.5629427792915531,0.66
0.9421712284582067,0.5571389645776567,0.6633333333333333
0.9425217755833993,0.5513623978201635,0.6666666666666666
0.9428557968624864,0.5453405994550409,0.67
0.943049135014059,0.5391825613079019,0.6733333333333333
0.9432190329416298,0.5336512261580382,0.6766666666666666
0.9433612790017547,0.5273569482288828,0.68
0.9436994675606389,0.5215803814713896,0.6833333333333333
0.9439406019533586,0.516158038147139,0.6866666666666666
0.9441980038310314,0.5103814713896457,0.69
0.9441212492345377,0.5041144414168938,0.6933333333333334
0.94454770755886,0.49847411444141687,0.6966666666666667
0.944940709397691,0.4928882833787466,0.7
0.9454094292803971,0.4879291553133515,0.7033333333333334
0.9457596323411532,0.48223433242506814,0.7066666666666667
0.945967872789226,0.476566757493188,0.71
0.9461770348040559,0.47038147138964576,0.7133333333333334
0.9464137127641871,0.4648773841961853,0.7166666666666667
0.9468713105076741,0.4589100817438692,0.72
0.9474283761462664,0.4532425068119891,0.7233333333333334
0.9473866589662142,0.44697547683923705,0.7266666666666667
0.9476304844473084,0.4407901907356948,0.73
0.9477306437258973,0.43525885558583105,0.7333333333333333
0.9477423239012643,0.4289373297002725,0.7366666666666667
0.947589737339265,0.42367847411444143,0.74
0.9475081825480146,0.41806539509536783,0.7433333333333333
0.9476160602258469,0.41158038147138964,0.7466666666666667
0.9478582355940847,0.40517711171662124,0.75
